,Score
9945,3.95
2408,3.883333333333333
2201,3.8499999999999996
3533,3.566666666666667
3034,3.55
2376,3.4833333333333334
1303,3.35
2303,3.333333333333333
6770,3.2666666666666666
2377,3.2500000000000004
1760,3.216666666666667
3035,3.1333333333333333
3037,3.1333333333333333
2317,2.9499999999999997
2454,2.9499999999999997
3481,2.9166666666666665
3711,2.883333333333333
2881,2.8666666666666667
2891,2.7666666666666666
2308,2.7333333333333334
2615,2.5500000000000003
6285,2.55
2002,2.5166666666666666
2301,2.466666666666667
5274O,2.416666666666667
2474,2.3833333333333337
1216,2.3833333333333333
2357,2.1833333333333336
3045,2.15
2327,2.083333333333333
2609,2.0666666666666664
3529O,2.0166666666666666
1301,2.0
6669,1.8166666666666667
2883,1.7333333333333334
2834,1.7333333333333332
2368,1.7000000000000002
2379,1.5833333333333335
2412,1.5333333333333332
2882,1.5166666666666668
2892,1.4666666666666668
4743O,1.3833333333333333
3017,1.3499999999999999
2886,1.2999999999999998
2603,1.2833333333333334
1605,1.1500000000000001
2884,0.9166666666666667
1101,0.9
6446,0.8833333333333333
2345,0.75
2382,0.6666666666666666
2330,0.6166666666666667
6415,0.6
2610,0.5333333333333333
2383,0.5166666666666667
3443,0.4
2618,0.3333333333333333
5871,0.26666666666666666
3661,0.15000000000000002
6547O,0.11666666666666667
