Date,Equity
2022-02-07,202738.10847818825
2022-02-08,204743.39823369638
2022-02-09,206043.86279392237
2022-02-10,205113.33451732248
2022-02-11,206422.12431130357
2022-02-14,207911.07917965506
2022-02-15,205288.1534891472
2022-02-16,206510.49757168832
2022-02-17,207080.79637217254
2022-02-18,207454.92451758444
2022-02-21,206631.79186705983
2022-02-22,205473.37393535094
2022-02-23,209342.1165440261
2022-02-24,206007.8836674727
2022-02-25,206451.85960747683
2022-03-01,208816.11712069585
2022-03-02,208468.73757874256
2022-03-03,210548.2214554847
2022-03-04,208853.82314033524
2022-03-07,203957.5092452726
2022-03-08,200318.60437768165
2022-03-09,203857.80805859927
2022-03-10,207696.93347140547
2022-03-11,207120.83384937944
2022-03-14,207569.5541358481
2022-03-15,204332.40895326983
2022-03-16,203176.79567549223
2022-03-17,204374.65273560034
2022-03-18,204474.7451151107
2022-03-21,204386.99777507051
2022-03-22,204107.28321672478
2022-03-23,204414.75803748687
2022-03-24,204247.23800668385
2022-03-25,203398.84803311998
2022-03-28,203642.34507536076
2022-03-29,204177.57388948012
2022-03-30,203955.7529173717
2022-03-31,203714.81647295083
2022-04-01,204064.07937028864
2022-04-06,204436.92089937057
2022-04-07,202599.5592760113
2022-04-08,203456.1912656974
2022-04-11,202823.5619358379
2022-04-12,202101.32311058222
2022-04-13,203120.05999125223
2022-04-14,202348.71030918523
2022-04-15,201538.90038743103
2022-04-18,200641.20557677158
2022-04-19,201186.57811503398
2022-04-20,201158.59121991767
2022-04-21,201001.2816913218
2022-04-22,200729.56162671765
2022-04-25,200098.6960639152
2022-04-26,199950.78777846377
2022-04-27,199968.2450514866
2022-04-28,199899.9103161058
2022-04-29,200085.44423676416
2022-05-03,199764.463562248
2022-05-04,199602.49173356092
2022-05-05,199511.10564977868
2022-05-06,199446.59649888176
2022-05-09,198752.05008953137
2022-05-10,198754.16535227335
2022-05-11,198295.7389988403
2022-05-12,197882.57701596044
2022-05-13,198129.55595697384
2022-05-16,198083.08497285214
2022-05-17,197560.98000156405
2022-05-18,197847.66999063807
2022-05-19,197567.51470927696
2022-05-20,197912.7423322292
2022-05-23,198115.9605009664
2022-05-24,197998.04654027917
2022-05-25,198408.60336459553
2022-05-26,198119.16225179753
2022-05-27,198148.87698650509
2022-05-30,198409.82749986873
2022-05-31,198324.00044997555
2022-06-01,198636.14723900933
2022-06-02,198480.0131440647
2022-06-06,198241.79542065304
2022-06-07,197891.91067090665
2022-06-08,197789.57333465328
2022-06-09,197658.31722694478
2022-06-10,196640.78118709294
2022-06-13,194308.58476243392
2022-06-14,194640.18534940196
2022-06-15,194370.91468909435
2022-06-16,193341.72908356588
2022-06-17,192636.32693881783
2022-06-20,191326.9966278561
2022-06-21,192572.05884065526
2022-06-22,191909.82017860163
2022-06-23,191896.54270145964
2022-06-24,191950.83353770335
2022-06-27,192243.59380074008
2022-06-28,192049.98883179444
2022-06-29,192305.89697275855
