,Score
2327,4.0
3481,3.8999999999999995
2454,3.8833333333333333
2303,3.783333333333333
6285,3.566666666666667
2408,3.4833333333333334
3036,3.4166666666666665
6239,3.333333333333333
6415,3.316666666666667
3149,3.2333333333333334
3443,3.216666666666667
2395,3.2
2344,3.183333333333333
2377,3.1333333333333337
3037,3.0999999999999996
2356,3.05
6446,3.0
6669,2.7666666666666666
2301,2.75
2360,2.6
3661,2.55
1605,2.483333333333333
2404,2.35
2345,2.35
3711,2.3333333333333335
2383,2.283333333333333
3035,2.266666666666667
2376,2.2666666666666666
2357,2.2666666666666666
3034,2.2333333333333334
6770,2.233333333333333
1504,2.1666666666666665
5274O,2.0166666666666666
2317,1.8833333333333333
2885,1.7166666666666668
2891,1.6
2379,1.5
2603,1.4833333333333334
3706,1.3666666666666665
2881,1.35
3044,1.2166666666666668
2882,1.2
2883,1.1666666666666667
2330,1.15
2308,1.1166666666666667
2324,1.1166666666666667
3533,1.1
3231,1.0333333333333332
2449,0.95
2368,0.7833333333333334
2412,0.6833333333333335
1303,0.6333333333333333
3045,0.5166666666666667
2887,0.5166666666666666
2382,0.5
3017,0.4666666666666667
3529O,0.43333333333333335
2892,0.33333333333333337
2884,0.3
1519,0.16666666666666669
