Date,Equity
2026-01-02,203554.52731711787
2026-01-05,207546.85289905002
2026-01-06,216181.46256722283
2026-01-07,217160.82420769762
2026-01-08,216640.5531435125
2026-01-09,206859.0713290708
2026-01-12,214340.97675313204
2026-01-13,218652.67441571323
2026-01-14,221444.69487575287
2026-01-15,224921.39401726524
2026-01-16,230576.71903595538
2026-01-19,237548.59558163007
2026-01-20,236960.39984657802
2026-01-21,228226.13135553012
2026-01-22,231196.84376773317
2026-01-23,229828.7991894512
2026-01-26,233412.77261068276
2026-01-27,232329.69068469305
2026-01-28,241921.28213436887
2026-01-29,239529.1629102678
2026-01-30,243630.50396327648
2026-02-02,234007.48806972537
2026-02-03,238642.54573760074
2026-02-04,241967.9919633302
2026-02-05,229469.2706036679
2026-02-06,223639.28215620675
2026-02-09,229655.4903058925
2026-02-10,228714.55555291008
2026-02-11,230577.43851872784
2026-02-23,236600.39134332832
2026-02-24,245145.81537463568
2026-02-25,249537.43732628576
2026-02-26,250154.56065210694
2026-03-02,244881.7400136591
2026-03-03,234108.35778476228
2026-03-04,217528.19349862562
2026-03-05,227789.2789510218
2026-03-06,227071.78358096757
2026-03-09,212268.82152223503
2026-03-10,220317.24136543015
2026-03-11,230179.67694013118
2026-03-12,232821.72838555492
2026-03-13,235391.13212918254
2026-03-16,237418.5566595701
2026-03-17,244822.5533791635
2026-03-18,247521.00763573052
2026-03-19,249988.79964070316
2026-03-20,247122.5980205144
2026-03-23,239075.6684717673
2026-03-24,234174.6382631424
2026-03-25,244089.58200605307
2026-03-26,247744.65688823382
2026-03-27,246846.35414296968
2026-03-30,244692.3204696459
2026-03-31,236406.54607505762
2026-04-01,244794.57604679593
2026-04-02,242880.60962673972
2026-04-07,245933.09326992265
2026-04-08,254405.77037092496
