Date,Equity
2023-05-10,199368.67732324282
2023-05-11,198224.38154152295
2023-05-12,200164.93113705047
2023-05-15,199677.11287651834
2023-05-16,201001.34005478624
2023-05-17,201541.26645556922
2023-05-18,203155.92188808325
2023-05-19,206021.1339847259
2023-05-22,205835.94671519793
2023-05-23,208214.4310265203
2023-05-24,209063.46033655416
2023-05-25,215143.23956523024
2023-05-26,215871.70480339916
2023-05-29,221960.95880679626
2023-05-30,220598.06178718063
2023-05-31,221810.01289742516
2023-06-01,226220.63141185156
2023-06-02,231239.91385726596
2023-06-05,231579.05227390132
2023-06-06,230794.76637764386
2023-06-07,236496.02108844466
2023-06-08,230608.2945388898
2023-06-09,236815.87112413943
2023-06-12,235056.36995695194
2023-06-13,241489.48503834865
2023-06-14,244812.61601401787
2023-06-15,254155.22486081376
2023-06-16,258269.19600512512
2023-06-19,256592.30170352553
2023-06-20,256061.3894484469
2023-06-21,260379.3836098339
2023-06-26,255899.5236711609
2023-06-27,245539.77105015822
2023-06-28,246800.9604101711
2023-06-29,251394.96625644673
2023-06-30,256004.90303986994
2023-07-03,264275.37315570377
2023-07-04,278024.9489398532
2023-07-05,276360.4689333028
2023-07-06,275452.040460219
2023-07-07,274120.02279205306
2023-07-10,278508.8787375467
2023-07-11,289949.9403681045
2023-07-12,298601.0114674383
2023-07-13,304483.9581344633
2023-07-14,309213.94407581975
2023-07-17,309170.9089006659
2023-07-18,306822.3649175846
2023-07-19,300891.81814584805
2023-07-20,309270.7757373479
2023-07-21,324827.2728431433
2023-07-24,331273.68879139447
2023-07-25,326550.54633896716
2023-07-26,326016.1680162288
2023-07-27,324950.510678728
2023-07-28,331957.45257866965
2023-07-31,322756.21312833653
2023-08-01,318026.84755088517
2023-08-02,296436.72443446534
2023-08-04,297529.54640303866
2023-08-07,312727.0587215987
2023-08-08,310748.05516958196
2023-08-09,310647.11681551946
2023-08-10,297365.6375574561
2023-08-11,300786.3435392515
2023-08-14,296133.90564040263
2023-08-15,306568.97515577165
2023-08-16,313998.2530805612
2023-08-17,319980.6562434769
2023-08-18,313323.3804288576
2023-08-21,316383.5436508907
2023-08-22,321107.3743773961
2023-08-23,323642.1153968915
2023-08-24,324446.2734643818
2023-08-25,319311.7474117385
2023-08-28,316437.9117497238
2023-08-29,316839.8298056319
2023-08-30,316706.3224319005
2023-08-31,316727.8960830054
2023-09-01,314543.83322117163
2023-09-04,315161.77933672635
2023-09-05,315421.96797111956
2023-09-06,316805.90047907893
2023-09-07,316512.5987168887
2023-09-08,316165.4193772614
2023-09-11,314974.7741656358
2023-09-12,315464.08949081134
2023-09-13,315858.16970162094
2023-09-14,316859.3532026906
2023-09-15,317166.6082300043
2023-09-18,316064.6864824894
2023-09-19,316399.6804191259
2023-09-20,313288.1350576944
2023-09-21,310513.00085673004
2023-09-22,311397.6869518485
2023-09-25,312574.7315699509
2023-09-26,311587.9208298306
2023-09-27,312176.0937401824
2023-09-28,312559.2406290623
2023-10-02,312277.01401486696
2023-10-03,312134.56610799505
2023-10-04,312007.2304206713
2023-10-05,312655.93739427184
2023-10-06,312370.39319804584
2023-10-11,312200.31525660685
2023-10-12,312705.78022185457
2023-10-13,312941.4756073072
2023-10-16,311644.82834748545
2023-10-17,310289.79352504166
2023-10-18,306623.0615678666
2023-10-19,306687.2808555842
2023-10-20,306264.8263171079
2023-10-23,304967.21263397136
2023-10-24,304953.3960523941
2023-10-25,304620.82992490206
2023-10-26,302860.9760645189
2023-10-27,303565.4778389509
2023-10-30,303700.9291316648
2023-10-31,302147.07430537906
2023-11-01,302528.75307022274
2023-11-02,304233.0333939279
2023-11-03,305775.7783962768
2023-11-06,308335.23978917126
2023-11-07,315094.3606061076
2023-11-08,316346.1591470713
2023-11-09,315083.01812291576
2023-11-10,312492.08004994073
2023-11-13,309852.9686062581
2023-11-14,311085.9004754253
2023-11-15,309540.29090633447
2023-11-16,308233.1777120703
2023-11-17,308110.4577058113
2023-11-20,308431.2191566425
2023-11-21,310445.58995857526
2023-11-22,309752.65746351937
2023-11-23,307076.2096179626
2023-11-24,306341.4027960874
2023-11-27,301627.81447293365
2023-11-28,306512.3369595127
2023-11-29,309009.45447787247
2023-11-30,308808.0189939161
2023-12-01,310090.921483062
2023-12-04,310797.6455380615
2023-12-05,315181.05124859035
2023-12-06,317769.4419313143
2023-12-07,321490.64709582855
2023-12-08,327730.6124380243
2023-12-11,322185.23353312066
2023-12-12,327702.6336629848
2023-12-13,326775.49414091796
2023-12-14,325263.6107133873
2023-12-15,322021.4005233796
2023-12-18,318692.5977038292
2023-12-19,314847.9473322858
2023-12-20,313133.3220264464
2023-12-21,310584.9875966317
2023-12-22,313189.0043111616
2023-12-25,309763.76783283334
2023-12-26,311824.6695463467
2023-12-27,313527.0284467236
2023-12-28,313156.4311330444
2023-12-29,311579.3534274816
2024-01-02,311855.2359672951
2024-01-03,309294.12330079975
2024-01-04,310191.35974371457
2024-01-05,310652.66502677556
2024-01-08,308668.1048474119
2024-01-09,302244.70207271114
2024-01-10,296394.6051613654
2024-01-11,297602.4798682289
2024-01-12,296462.4001801992
2024-01-15,295484.37057050585
2024-01-16,295602.54833126767
2024-01-17,293267.0421643201
2024-01-18,295194.8121078864
2024-01-19,298311.8216412214
2024-01-22,304110.4223586366
2024-01-23,305723.5593274936
2024-01-24,304453.90259631927
2024-01-25,305203.2084332813
2024-01-26,301875.2252056575
2024-01-29,304327.92136031867
2024-01-30,307213.50564691017
2024-01-31,305891.5477174936
2024-02-01,315688.20670762274
2024-02-02,321949.62999030505
2024-02-05,324654.522065173
2024-02-15,337360.4880440459
2024-02-16,330929.016284549
2024-02-19,324767.831761842
2024-02-20,322414.35951387265
2024-02-21,319973.2736922589
2024-02-22,322703.23474722006
2024-02-23,322383.0275876698
2024-02-26,323147.14735768345
2024-02-27,317093.9610333202
2024-02-29,325017.24649846164
2024-03-01,330040.7705457544
2024-03-04,335908.90599300934
2024-03-05,342785.0541653971
2024-03-06,349533.2635569585
2024-03-07,347402.0820521518
2024-03-08,340044.77660004585
2024-03-11,342859.1357231555
2024-03-12,348314.2004900165
2024-03-13,346919.15831962693
2024-03-14,336189.468004731
2024-03-15,333746.4554185038
2024-03-18,343248.91941726516
2024-03-19,344000.3994113627
2024-03-20,342130.8919149634
2024-03-21,344950.3902822103
2024-03-22,342174.7437395842
2024-03-25,343011.03096158936
2024-03-26,336204.7349654103
2024-03-27,337512.927191569
2024-03-28,339370.57414762775
2024-03-29,340171.44851413625
2024-04-01,338001.1704673757
2024-04-02,346712.53853547154
2024-04-03,347851.1693415257
2024-04-08,346120.90658526344
2024-04-09,351674.39436216955
2024-04-10,349156.64818174037
2024-04-11,347103.04358633875
2024-04-12,353360.1897006662
2024-04-15,342528.9317337705
2024-04-16,329724.1147831421
2024-04-17,341820.33139585913
2024-04-18,347175.6620803687
2024-04-19,334303.7982216738
2024-04-22,322274.1182481305
2024-04-23,323775.91663118283
2024-04-24,335294.9280365676
2024-04-25,332224.52094708174
2024-04-26,335943.01754219155
2024-04-29,335990.2927412287
2024-04-30,334755.7144272761
2024-05-02,332344.75218324683
2024-05-03,333513.858508636
2024-05-06,334497.0924153543
2024-05-07,335124.4447737401
2024-05-08,333545.4316013071
2024-05-09,331752.3608484924
2024-05-10,333400.6785020344
2024-05-13,333147.9064012244
2024-05-14,335258.2616742386
2024-05-15,338548.9763123828
2024-05-16,347012.87598404556
2024-05-17,343253.0047677989
2024-05-20,340928.5271685753
2024-05-21,336528.6695008181
2024-05-22,338911.58709299
2024-05-23,338827.8080714765
2024-05-24,344297.4404241327
2024-05-27,350781.47520625347
2024-05-28,353762.05170218187
2024-05-29,348843.4492039329
2024-05-30,346180.3376056352
2024-05-31,338772.7436785671
2024-06-03,343073.0652897779
2024-06-04,339955.7972703581
2024-06-05,348372.51443919755
2024-06-06,350497.2348036876
2024-06-07,352348.6952255278
2024-06-11,341048.8369444725
2024-06-12,336848.3025429835
2024-06-13,341492.6414332177
2024-06-14,348744.6023109761
2024-06-17,345271.636488542
2024-06-18,348042.6277518255
2024-06-19,348371.6006194252
2024-06-20,352705.4099843365
2024-06-21,350664.9876584868
2024-06-24,344063.4887847546
2024-06-25,344929.55703570344
2024-06-26,346142.02368056827
2024-06-27,345526.08972147794
2024-06-28,348695.27162870404
2024-07-01,345771.6630508666
2024-07-02,342353.54584630753
