Date,Equity
2023-04-07,988632.4546421994
2023-04-10,1013592.2971106006
2023-04-11,1026788.9721880009
2023-04-12,1044095.4870434841
2023-04-13,1022269.4234412934
2023-04-14,1028859.4101421483
2023-04-17,1033196.1315418318
2023-04-18,1021257.4443346013
2023-04-19,1030160.0301174343
2023-04-20,1016393.7979535229
2023-04-21,991496.8114715997
2023-04-24,1010043.3299698901
2023-04-25,974844.3459123445
2023-04-26,988546.2080011857
2023-04-27,1007544.5806192403
2023-04-28,1014529.1353256596
2023-05-02,1039334.7539069476
2023-05-03,1026673.4961719945
2023-05-04,1028978.2796727492
2023-05-05,1022695.51979055
2023-05-08,1036469.2784529211
2023-05-09,1028042.6570788571
2023-05-10,1022191.9471409747
2023-05-11,1012545.1802107153
2023-05-12,1021313.5169272443
2023-05-15,1021714.9379595594
2023-05-16,1029461.325394298
2023-05-17,1030817.1022342129
2023-05-18,1049641.3685695687
2023-05-19,1069890.0442275624
2023-05-22,1067228.974532791
2023-05-23,1077972.1271851677
2023-05-24,1085027.306704254
2023-05-25,1125514.961905575
2023-05-26,1122987.2213517167
2023-05-29,1159794.7505637896
2023-05-30,1155454.393497637
2023-05-31,1161080.9167387213
2023-06-01,1183773.3580492677
2023-06-02,1204762.5014140753
2023-06-05,1209984.5621716077
2023-06-06,1207312.3435142133
2023-06-07,1239643.6429496498
2023-06-08,1209450.5847288098
2023-06-09,1243835.2501880405
2023-06-12,1235148.4881942254
2023-06-13,1269658.4719413894
2023-06-14,1296808.025795231
2023-06-15,1344634.1222251079
2023-06-16,1359967.8464058936
2023-06-19,1352211.14336426
2023-06-20,1349063.7304635542
2023-06-21,1371868.5492197592
2023-06-26,1348481.7646097208
2023-06-27,1296023.117548982
2023-06-28,1303556.9339125664
2023-06-29,1327292.7360347125
2023-06-30,1354031.310345607
2023-07-03,1396444.1435186951
2023-07-04,1472341.244902764
2023-07-05,1458108.3120606134
2023-07-06,1448355.2124030744
2023-07-07,1430775.8912894535
2023-07-10,1451273.0124024884
2023-07-11,1511573.1982578482
2023-07-12,1560518.0605665452
2023-07-13,1597744.2743511884
2023-07-14,1638204.074799805
2023-07-17,1637035.8585240794
2023-07-18,1624566.2807758544
2023-07-19,1595625.7116966988
2023-07-20,1644020.7306187327
2023-07-21,1734399.484440064
2023-07-24,1773219.7656047833
2023-07-25,1743107.3597230292
2023-07-26,1736450.358599893
2023-07-27,1727552.362448075
2023-07-28,1759053.3952245403
2023-07-31,1703863.663763041
2023-08-01,1685242.9331315143
2023-08-02,1559123.1195149454
2023-08-04,1569590.2628205575
2023-08-07,1655201.371271195
2023-08-08,1642638.4101116
2023-08-09,1640030.8908670559
2023-08-10,1564113.0438446244
2023-08-11,1588256.7740619017
2023-08-14,1564771.193005209
2023-08-15,1622037.9765688984
2023-08-16,1667501.998110389
2023-08-17,1709858.6672308014
2023-08-18,1660985.3688278068
2023-08-21,1687055.8813865976
2023-08-22,1714975.564281101
2023-08-23,1735653.569390248
2023-08-24,1743416.6555269489
2023-08-25,1708941.5430625072
2023-08-28,1690358.1497161537
2023-08-29,1694345.8300377897
2023-08-30,1696221.2479476172
2023-08-31,1701322.8262335355
2023-09-01,1682707.8737939924
2023-09-04,1688025.4138378585
2023-09-05,1687606.9500583052
2023-09-06,1696536.5116271859
2023-09-07,1693251.5816502143
2023-09-08,1687999.122084364
2023-09-11,1668463.7398863323
2023-09-12,1669375.179722566
2023-09-13,1672302.3459649803
2023-09-14,1679304.9709931584
2023-09-15,1682467.4449636668
2023-09-18,1671860.106816912
2023-09-19,1670279.9372080166
2023-09-20,1647629.5571721753
2023-09-21,1629208.590963834
2023-09-22,1633301.7949596776
2023-09-25,1638744.9340624283
2023-09-26,1631103.4111676547
2023-09-27,1637307.4155120654
2023-09-28,1642109.7002659044
2023-10-02,1646154.2832908956
2023-10-03,1644813.060768628
2023-10-04,1642166.8455058504
2023-10-05,1649829.6610702144
2023-10-06,1646174.367051541
2023-10-11,1644634.9919631404
2023-10-12,1648083.9888266353
2023-10-13,1649819.5078884154
2023-10-16,1640021.3211391342
2023-10-17,1632418.2994805288
2023-10-18,1605166.239765122
2023-10-19,1604565.0351084196
2023-10-20,1597539.5692945176
2023-10-23,1588142.1316935834
2023-10-24,1583505.7541064988
2023-10-25,1582349.179203667
2023-10-26,1568938.3485291789
2023-10-27,1571201.8155286897
2023-10-30,1574824.622616092
2023-10-31,1555712.2687250783
2023-11-01,1556960.0071650457
2023-11-02,1571785.9388578061
2023-11-03,1580642.3187345387
2023-11-06,1600352.9825882944
2023-11-07,1636397.854138914
2023-11-08,1645008.916055859
2023-11-09,1637064.0386812314
2023-11-10,1624344.1118511574
2023-11-13,1612908.4397312282
2023-11-14,1621423.4505596273
2023-11-15,1617790.772853149
2023-11-16,1607554.6528935737
2023-11-17,1610517.161000981
2023-11-20,1610317.095080097
2023-11-21,1617906.643657409
2023-11-22,1615724.9964738584
2023-11-23,1601207.1699544517
2023-11-24,1598336.782113132
2023-11-27,1573278.171242145
2023-11-28,1599456.5891125118
2023-11-29,1609269.516842811
2023-11-30,1606989.3707961745
2023-12-01,1616063.4611413302
2023-12-04,1616062.8610389698
2023-12-05,1643507.5581616592
2023-12-06,1667008.9053288996
2023-12-07,1688982.535451888
2023-12-08,1718327.1874122766
2023-12-11,1686207.8138579316
2023-12-12,1699785.2257127333
2023-12-13,1700199.0303433486
2023-12-14,1695455.2946582003
2023-12-15,1679990.910170876
2023-12-18,1672737.3962978001
2023-12-19,1651679.0796835618
2023-12-20,1644998.6600324514
2023-12-21,1633837.2700705403
2023-12-22,1644924.114023096
2023-12-25,1615792.7882880596
2023-12-26,1633295.7880618877
2023-12-27,1644256.2312914892
2023-12-28,1636448.5706081619
2023-12-29,1631893.324977152
2024-01-02,1630073.9841176327
2024-01-03,1615008.014783265
2024-01-04,1617735.0267117196
2024-01-05,1617347.9821225475
2024-01-08,1606465.294577791
2024-01-09,1569725.8423020842
2024-01-10,1554587.645696301
2024-01-11,1556981.4924535737
2024-01-12,1557199.1348182512
2024-01-15,1545001.7174008482
2024-01-16,1550977.83687576
2024-01-17,1538242.5072966104
2024-01-18,1541159.3126825255
