,Score
4743O,4.0
3661,3.933333333333333
3529O,3.8499999999999996
4142,3.8166666666666664
2207,3.6666666666666665
2458,3.6
3481,3.5333333333333337
3231,3.533333333333333
2454,3.5
6547O,3.4333333333333336
6415,3.3666666666666667
2308,3.3666666666666663
2379,3.2
3443,3.1333333333333333
3044,3.0
3037,2.966666666666667
5871,2.8666666666666663
2317,2.8
4938,2.75
2376,2.7333333333333334
3034,2.55
2885,2.4833333333333334
2357,2.433333333333333
2383,2.433333333333333
3711,2.3666666666666667
2327,2.35
2882,2.0833333333333335
2330,2.066666666666667
3017,2.016666666666667
2449,2.0
2377,1.9666666666666668
2881,1.9
2404,1.8833333333333333
1326,1.8166666666666667
2412,1.7833333333333332
6505,1.6
2884,1.5833333333333333
2301,1.4833333333333332
1301,1.4000000000000001
2382,1.4
2002,1.3666666666666665
1303,1.2833333333333332
2891,1.25
2886,1.0666666666666667
1760,1.0666666666666667
2892,0.9500000000000001
2303,0.9500000000000001
2345,0.8666666666666667
3045,0.8666666666666666
2474,0.8
3533,0.7666666666666667
1101,0.7666666666666667
1216,0.7333333333333333
2912,0.5666666666666667
2890,0.4833333333333333
6669,0.43333333333333335
2408,0.4166666666666667
5274O,0.30000000000000004
2344,0.23333333333333334
2368,0.18333333333333335
