Date,Equity
2008-01-02,197653.63719900226
2008-01-03,198091.79404214604
2008-01-04,199091.24744954077
2008-01-07,195606.86801965378
2008-01-08,200158.27729696291
2008-01-09,200835.63815113498
2008-01-10,199606.80271297265
2008-01-11,197763.41629160033
2008-01-14,203639.2850910575
2008-01-15,208933.00011882294
2008-01-16,202685.67845784678
2008-01-17,198328.2424782632
2008-01-18,199840.32073131215
2008-01-21,202687.29634672077
2008-01-22,192436.09641140563
2008-01-23,189376.8558598882
2008-01-24,193541.0558554245
2008-01-25,194611.75394480428
2008-01-28,189580.92227936708
2008-01-29,189683.23503783165
2008-01-30,187670.29457255264
2008-01-31,188064.02789478505
2008-02-01,192454.7755354712
2008-02-12,191432.26470229632
2008-02-13,191661.34425441263
2008-02-14,195276.29196450696
2008-02-15,193926.28940796407
2008-02-18,192564.3064468763
2008-02-19,193941.11736414733
2008-02-20,190427.83718101215
2008-02-21,194548.61762023153
2008-02-22,195598.692203788
2008-02-25,198829.67226743916
2008-02-26,198296.4847075941
2008-02-27,198523.64811876434
2008-02-29,197866.92827607106
2008-03-03,197344.0469449009
2008-03-04,202293.41628771648
2008-03-05,203837.60670401042
2008-03-06,203406.80680266558
2008-03-07,198501.50343353927
2008-03-10,193253.5016301812
2008-03-11,197829.97593547785
2008-03-12,196863.29238497184
2008-03-13,190512.58798911306
2008-03-14,191425.80310145023
2008-03-17,189499.40241413086
2008-03-18,190198.98331949458
2008-03-19,192199.74915156138
2008-03-20,195016.79987276462
2008-03-21,199584.76577644135
2008-03-24,208907.70934281911
2008-03-25,203229.08964656855
2008-03-26,200868.02059849794
2008-03-27,195939.80699612154
2008-03-28,199185.02148297444
2008-03-31,197048.93174834657
2008-04-01,192091.18731626795
2008-04-02,195387.6127229645
2008-04-03,195711.44851022103
2008-04-07,200229.92027035152
2008-04-08,198986.91734120608
2008-04-09,199680.17265787785
2008-04-10,202286.4028370748
2008-04-11,204233.18459111318
2008-04-14,203963.11112634282
2008-04-15,203132.6044778581
2008-04-16,204649.27226049162
2008-04-17,201633.8429488903
2008-04-18,198669.33543756854
2008-04-21,200487.32263875895
2008-04-22,201644.2415386388
2008-04-23,203080.2666367497
2008-04-24,203590.2781814844
2008-04-25,203065.20304649154
2008-04-28,204625.8285852442
2008-04-29,201494.2623312019
2008-04-30,202624.70844148222
2008-05-02,205992.95790372576
2008-05-05,204034.18685103967
2008-05-06,204623.81647552527
2008-05-07,207754.00485610985
2008-05-08,207384.42912370802
2008-05-09,203969.60499058227
2008-05-12,203951.14885128153
2008-05-13,206821.67776679998
2008-05-14,207968.78671062517
2008-05-15,209558.9731785255
2008-05-16,211134.25615882708
2008-05-19,211588.7603315718
2008-05-20,206791.06632215582
2008-05-21,205701.66591381858
2008-05-22,203775.48015045983
2008-05-23,197849.51194691018
2008-05-26,196435.30849623473
2008-05-27,197379.2442758015
2008-05-28,194334.83307080326
2008-05-29,196024.1701125492
2008-05-30,193032.67377691052
2008-06-02,194785.42900476512
2008-06-03,192871.4774232131
2008-06-04,193985.51784638502
2008-06-05,195168.58317354636
2008-06-06,194846.00187685745
2008-06-09,192256.96973818287
2008-06-10,189045.87131742487
2008-06-11,187771.11800471903
2008-06-12,185323.1033235043
2008-06-13,185793.50803077297
2008-06-16,186444.742569825
2008-06-17,186644.75394289612
2008-06-18,186218.17756886678
2008-06-19,184882.3171020567
2008-06-20,183534.35308060132
2008-06-23,183623.4706159576
2008-06-24,183314.86903639502
2008-06-25,184215.32434604416
2008-06-26,183622.02891108574
2008-06-27,182025.0037461732
2008-06-30,182321.10141289834
2008-07-01,182157.97367239022
2008-07-02,181691.83400666722
2008-07-03,181756.9533995025
2008-07-04,181446.14032109355
2008-07-07,181615.17973696734
2008-07-08,180854.3906633496
2008-07-09,181033.15967013952
2008-07-10,180890.96486411494
2008-07-11,181060.8058006398
2008-07-14,181104.2048490004
2008-07-15,180849.13534137845
2008-07-16,180507.28179416148
2008-07-17,180842.59863164526
2008-07-18,180976.04897469722
2008-07-21,181257.41720653337
2008-07-22,181365.4514200928
2008-07-23,181541.90375320797
2008-07-24,181670.42930819263
2008-07-25,181336.4441190026
2008-07-28,181429.59435147917
2008-07-29,179305.23829620224
2008-07-30,180464.88438521945
2008-07-31,177868.77075575007
2008-08-01,175657.96227759766
2008-08-04,175104.85285544881
2008-08-05,170350.70178812146
2008-08-06,171955.75343554319
2008-08-07,174383.65594987283
2008-08-08,178110.4242866402
2008-08-11,181966.3840723975
2008-08-12,181902.65802845504
2008-08-13,183558.6863785016
2008-08-14,182796.74048473735
2008-08-15,177354.22143436453
2008-08-18,173935.91683868546
2008-08-19,175518.3685244131
2008-08-20,176973.7893458357
2008-08-21,172483.56983495483
2008-08-22,169999.17660687954
2008-08-25,172043.96001884717
2008-08-26,171440.66398215745
2008-08-27,174859.43706881028
2008-08-28,174013.54113300785
2008-08-29,174764.09604038356
2008-09-01,167460.84444257914
2008-09-02,165372.32462960068
2008-09-03,163598.26201934874
2008-09-04,162438.60137616654
2008-09-05,161617.82331492606
2008-09-08,164872.20036215827
2008-09-09,161379.78623039863
2008-09-10,161077.69241880468
2008-09-11,158937.72876052535
2008-09-12,159741.78926784502
2008-09-15,156738.59488470785
2008-09-16,154060.0953874603
2008-09-17,154597.66643142226
2008-09-18,154168.78209345657
2008-09-19,155241.16368020396
2008-09-22,155755.3343288293
2008-09-23,156464.6762983493
2008-09-24,156011.77206966974
2008-09-25,155517.48537014273
2008-09-26,154406.38596729664
2008-09-29,155132.54843144424
2008-09-30,153129.28734983486
2008-10-01,152875.79017863155
2008-10-02,152267.71082122473
2008-10-03,152324.0108965786
2008-10-06,151294.1582052143
2008-10-07,151073.40020287043
2008-10-08,149542.3490565108
2008-10-09,149252.87775615454
2008-10-13,148716.13924495003
2008-10-14,149611.9611891538
2008-10-15,149595.8891615029
2008-10-16,149069.9263248725
2008-10-17,149030.79756805793
2008-10-20,149082.62224759543
2008-10-21,149248.52424263913
2008-10-22,149190.2380385253
2008-10-23,149053.80514832455
2008-10-24,148870.37813166913
2008-10-27,148616.46173414445
2008-10-28,148677.09823562886
2008-10-29,148639.20023173591
2008-10-30,149036.65962123603
2008-10-31,148925.33358353304
2008-11-03,149277.2954220622
2008-11-04,149116.71679875025
2008-11-05,147521.69591394995
2008-11-06,145308.9238980921
2008-11-07,145894.30194371406
2008-11-10,146054.67430866536
2008-11-11,144405.84629161016
2008-11-12,143704.7598666871
2008-11-13,143235.7560178415
2008-11-14,143317.40148945502
2008-11-17,144325.22699023926
2008-11-18,143389.42596905577
2008-11-19,142976.79967589348
2008-11-20,139834.21977057285
2008-11-21,139721.00192575157
2008-11-24,140540.95955299525
2008-11-25,140069.15057698244
2008-11-26,140479.6543394694
2008-11-27,142277.04322919773
2008-11-28,142131.5562743492
2008-12-01,143456.79268411445
2008-12-02,142692.05139641036
2008-12-03,142852.355020483
