,Score
3533,3.9833333333333334
3036,3.8499999999999996
3529O,3.8166666666666664
5274O,3.7666666666666666
2383,3.6833333333333336
2605,3.65
2368,3.6166666666666663
3017,3.5166666666666666
6415,3.466666666666667
2360,3.3500000000000005
2345,3.35
4938,3.3
2357,3.1166666666666667
2308,3.1000000000000005
3037,2.8333333333333335
2379,2.816666666666667
3034,2.8166666666666664
2395,2.783333333333333
6285,2.783333333333333
1326,2.6333333333333333
2376,2.5999999999999996
2412,2.583333333333333
2885,2.45
2891,2.4333333333333336
3706,2.3833333333333333
6505,2.3833333333333333
2618,2.2333333333333334
2382,2.183333333333333
2603,2.1333333333333333
3481,2.0
1301,2.0
3711,1.9666666666666668
2887,1.9166666666666667
2881,1.9000000000000004
3231,1.85
2330,1.7166666666666668
2324,1.6666666666666665
2884,1.6
2615,1.5
2882,1.4666666666666666
3044,1.4333333333333333
2303,1.4333333333333331
6446,1.3166666666666667
1303,1.3
3443,1.05
2327,1.05
2449,0.9333333333333333
2301,0.8666666666666666
2454,0.8166666666666667
1605,0.7000000000000001
2317,0.6166666666666667
2609,0.5166666666666666
6239,0.5166666666666666
2344,0.4833333333333333
1519,0.45000000000000007
2404,0.45
6770,0.33333333333333337
6669,0.3333333333333333
2408,0.13333333333333333
3661,0.06666666666666667
