Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
2360,2026-03-04,2026-03-17,1301.3,1577.9,0.2043,🟢 停利,9,1577.9,1093.85
3036,2026-03-06,2026-03-17,208.21,246.31,0.1749,🟢 停利,7,246.31,179.63
5274O,2026-03-09,2026-03-17,9024.02,11005.02,0.2112,🟢 停利,6,11005.02,7538.26
3529O,2026-03-04,2026-03-26,2272.27,2854.27,0.2475,🟢 停利,16,2854.27,1835.77
3017,2026-03-04,2026-03-26,1776.78,2200.0,0.2297,🟢 停利,16,2124.77,1515.78
