,Score
6446,4.0
2449,3.883333333333333
5274O,3.8166666666666664
1519,3.7666666666666666
2317,3.75
2308,3.6666666666666665
2330,3.5500000000000003
2327,3.416666666666667
2383,3.3833333333333333
3035,3.2666666666666666
3529O,3.2166666666666663
2382,3.2
2454,3.1833333333333336
2881,3.116666666666667
3443,3.0
2883,2.9000000000000004
2408,2.7666666666666666
2891,2.75
2618,2.7499999999999996
2345,2.683333333333333
2882,2.6500000000000004
3711,2.6333333333333333
2610,2.4833333333333334
2615,2.4833333333333334
6770,2.4333333333333336
3036,2.1333333333333333
4938,2.1166666666666667
3044,2.0500000000000003
2368,2.016666666666667
1504,1.9333333333333333
2886,1.9000000000000001
6669,1.8666666666666667
3481,1.7833333333333332
2356,1.7666666666666666
6239,1.7333333333333334
3045,1.6833333333333333
3017,1.6333333333333333
3533,1.5999999999999999
6415,1.5166666666666666
2609,1.45
2344,1.4333333333333336
2303,1.4333333333333333
3034,1.3166666666666664
2357,1.2833333333333332
5871,1.2500000000000002
2412,1.2
2301,1.2
2379,0.9333333333333333
2603,0.8500000000000001
3037,0.85
2385,0.6500000000000001
3231,0.6166666666666667
2324,0.5833333333333333
2377,0.5666666666666667
2376,0.5166666666666666
2353,0.4666666666666667
1303,0.3666666666666667
2105,0.35000000000000003
1301,0.13333333333333333
3661,0.06666666666666667
