Date,Equity
2020-01-20,200940.8311535169
2020-01-30,189450.50883124222
2020-01-31,189806.225803403
2020-02-03,188503.26041960937
2020-02-04,187603.6767330039
2020-02-05,186701.87724684004
2020-02-06,187449.04581469833
2020-02-07,186042.09836795798
2020-02-10,185193.9304184578
2020-02-11,184944.42958009843
2020-02-12,185959.2658549062
2020-02-13,185717.49917712467
2020-02-14,186259.4364643518
2020-02-17,184353.72485979067
2020-02-18,183703.73318599988
2020-02-19,185816.4489235001
2020-02-20,185665.97154029517
2020-02-21,185881.4738089586
2020-02-24,184844.72943743804
2020-02-25,184997.4504586694
2020-02-26,181778.3657346253
2020-02-27,179338.23911713477
2020-03-02,179094.08255826615
2020-03-03,179159.51128379462
2020-03-04,179160.6583699233
2020-03-05,179495.33056038816
2020-03-06,180101.47188179728
2020-03-09,179398.24108178256
2020-03-10,179535.12256553653
2020-03-11,179314.14477430642
2020-03-12,178165.0288173376
2020-03-13,177288.05940843868
2020-03-16,176967.7289835619
2020-03-17,176952.873764728
2020-03-18,176815.6730318654
2020-03-19,175662.55136976732
2020-03-20,176020.87617697625
2020-03-23,175774.99057763713
2020-03-24,176009.6517439506
2020-03-25,176234.30592744396
2020-03-26,176409.3251242741
2020-03-27,176359.52410838736
2020-03-30,176517.44378311562
2020-03-31,176682.60681188924
2020-04-01,176755.2080202857
2020-04-06,177148.1315636824
2020-04-07,177276.5334893182
2020-04-08,176990.8411248711
2020-04-09,176792.807715451
2020-04-10,176734.6394532001
2020-04-13,176633.8380547278
2020-04-14,177479.0925645737
2020-04-15,177496.78767829775
2020-04-16,177576.86053475869
2020-04-17,177676.9073820236
2020-04-20,177844.40217410424
2020-04-21,177009.01451380202
2020-04-22,177657.3453414643
2020-04-23,177847.8740087089
2020-04-24,178113.8761675575
2020-04-27,178927.2863703161
2020-04-28,178374.86259615017
2020-04-29,179263.5431747786
2020-04-30,180119.6701438173
2020-05-04,180390.1804252331
2020-05-05,180005.0673684623
2020-05-06,178684.62524216424
2020-05-07,181221.87640125214
2020-05-08,180163.10356753465
2020-05-11,179006.3936341212
2020-05-12,178508.39953783437
2020-05-13,180873.2967114432
2020-05-14,176691.66085684134
2020-05-15,178765.41573001668
2020-05-18,178400.30439488185
2020-05-19,181462.21443535053
2020-05-20,183243.4153940328
2020-05-21,185224.3941687088
2020-05-22,187467.52320494375
2020-05-25,194421.30475167913
2020-05-26,196051.73160404907
2020-05-27,191166.75788216188
2020-05-28,189988.5278881071
2020-05-29,191915.0661415755
2020-06-01,190304.44214188345
2020-06-02,181848.20644621283
2020-06-03,185877.73317299844
2020-06-04,185883.19062471896
2020-06-05,185029.11182280045
2020-06-08,185728.13175263852
2020-06-09,191845.58511392935
2020-06-10,199492.84649986605
2020-06-11,192541.03793462063
2020-06-12,195183.75623954862
2020-06-15,192700.63588858515
2020-06-16,197170.09834452928
2020-06-17,202467.83506067758
2020-06-18,209059.29922544802
2020-06-19,208618.51830946785
2020-06-22,213891.22383301333
2020-06-23,216016.39610054894
2020-06-24,215534.03685931079
2020-06-29,217887.08591881717
