,Score
2615,4.0
2605,3.8999999999999995
2603,3.8833333333333333
2609,3.8166666666666664
2637,3.7333333333333334
8454,3.6666666666666665
2383,3.5833333333333335
2606,3.55
3529O,3.466666666666667
2368,3.3833333333333333
2618,3.216666666666667
3037,3.166666666666667
3443,3.1333333333333337
1605,3.1000000000000005
3035,3.0166666666666666
3017,2.983333333333333
6770,2.916666666666667
2327,2.8
2345,2.8
2610,2.6999999999999997
6669,2.6500000000000004
3661,2.6333333333333333
6415,2.6
1760,2.5166666666666666
2883,2.4166666666666665
2002,2.283333333333333
4743O,2.2666666666666666
2308,2.1333333333333333
3711,2.1166666666666667
2881,2.083333333333333
1301,1.9000000000000004
2412,1.8333333333333333
2379,1.8333333333333333
4938,1.7666666666666668
2344,1.7500000000000002
2303,1.7
2330,1.6666666666666667
1101,1.5333333333333334
1102,1.2833333333333334
2449,1.2833333333333332
2886,1.2666666666666666
1303,1.2166666666666668
4142,1.2166666666666666
2891,1.15
2317,1.15
5871,1.0333333333333332
2882,1.0
6116,0.9666666666666667
2382,0.8333333333333333
2376,0.7833333333333334
2408,0.75
2353,0.7
5274O,0.65
2377,0.5166666666666666
2454,0.5166666666666666
2357,0.5
3034,0.25
2458,0.23333333333333334
3481,0.13333333333333333
6547O,0.06666666666666667
