Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
2207,2020-01-30,2020-01-31,578.72,508.93,-0.1266,🔴 停損,1,635.43,536.18
2360,2020-01-30,2020-02-04,130.14,115.14,-0.1213,🔴 停損,3,146.2,118.1
4142,2020-01-31,2020-02-04,27.52,24.08,-0.1312,🔴 停損,2,30.11,25.58
2884,2020-02-04,2020-02-06,17.82,18.67,0.0406,🟢 停利,2,18.66,17.19
3661,2020-02-04,2020-02-10,221.64,182.93,-0.1803,🔴 停損,4,270.96,184.65
6239,2020-02-04,2020-02-14,73.55,84.31,0.1385,🟢 停利,8,84.31,65.48
2327,2020-02-04,2020-02-17,82.67,100.37,0.2058,🟢 停利,9,100.37,69.4
2379,2020-01-30,2020-02-26,192.16,174.06,-0.1004,🔴 停損,19,216.3,174.06
3481,2020-02-10,2020-02-26,8.32,7.29,-0.1299,🔴 停損,12,9.7,7.29
6415,2020-01-30,2020-02-27,254.56,243.51,-0.0499,⚪ 時間到期,20,300.77,219.9
5274O,2020-01-30,2020-02-27,797.82,795.34,-0.0099,⚪ 時間到期,20,898.37,722.4
6239,2020-02-14,2020-02-27,83.65,74.0,-0.1214,🔴 停損,9,96.51,74.0
2327,2020-02-17,2020-03-02,99.67,87.71,-0.126,🔴 停損,9,115.62,87.71
2377,2020-02-03,2020-03-03,69.8,68.51,-0.0252,⚪ 時間到期,20,75.93,65.2
2408,2020-02-04,2020-03-04,69.63,68.35,-0.0252,⚪ 時間到期,20,79.65,62.12
6669,2020-02-06,2020-03-06,617.67,604.55,-0.0279,⚪ 時間到期,20,721.57,539.75
2886,2020-02-06,2020-03-06,23.44,23.68,0.003,⚪ 時間到期,20,24.71,22.49
4142,2020-02-26,2020-03-06,27.62,32.79,0.1788,🟢 停利,6,32.79,23.75
5274O,2020-03-03,2020-03-06,875.24,985.88,0.1187,🟢 停利,3,985.88,792.26
2368,2020-03-04,2020-03-06,16.49,19.35,0.1658,🟢 停利,2,19.35,14.34
2368,2020-03-06,2020-03-09,17.8,20.48,0.1428,🟢 停利,1,20.48,15.79
2376,2020-02-27,2020-03-10,40.33,36.3,-0.1061,🔴 停損,7,45.71,36.3
2884,2020-02-27,2020-03-10,18.91,17.67,-0.0721,🔴 停損,7,20.16,17.98
3706,2020-02-26,2020-03-11,22.57,20.75,-0.0869,🔴 停損,9,24.99,20.75
6547O,2020-02-27,2020-03-13,33.4,25.18,-0.2515,🔴 停損,10,41.14,27.6
2327,2020-03-02,2020-03-13,89.03,68.57,-0.2351,🔴 停損,9,107.02,75.54
4142,2020-03-06,2020-03-13,32.14,27.84,-0.1395,🔴 停損,5,37.1,28.41
1707,2020-03-06,2020-03-13,170.75,152.99,-0.1102,🔴 停損,5,186.13,159.22
3661,2020-03-06,2020-03-13,221.17,172.48,-0.2255,🔴 停損,5,268.59,185.6
2886,2020-03-10,2020-03-13,22.71,20.68,-0.0956,🔴 停損,3,24.11,21.66
6669,2020-03-10,2020-03-13,571.76,492.81,-0.144,🔴 停損,3,667.99,499.59
3706,2020-03-11,2020-03-13,21.84,18.35,-0.1657,🔴 停損,2,25.11,19.39
5274O,2020-03-06,2020-03-16,934.15,821.4,-0.1267,🔴 停損,6,1059.25,840.33
6415,2020-03-13,2020-03-18,230.78,180.15,-0.2247,🔴 停損,3,298.3,180.15
2368,2020-03-09,2020-03-19,19.21,16.99,-0.1218,🔴 停損,8,22.17,16.99
1707,2020-03-16,2020-03-19,159.65,141.0,-0.1228,🔴 停損,3,184.51,141.0
6669,2020-03-16,2020-03-23,567.59,475.91,-0.1673,🔴 停損,5,689.83,475.91
2368,2020-03-19,2020-03-31,18.67,24.32,0.2934,🟢 停利,8,24.32,14.44
6547O,2020-03-13,2020-04-14,25.2,29.78,0.1737,⚪ 時間到期,20,34.23,18.43
5274O,2020-03-16,2020-04-15,822.22,899.59,0.0866,⚪ 時間到期,20,999.95,688.92
4142,2020-03-16,2020-04-15,28.62,27.84,-0.0336,⚪ 時間到期,20,35.93,23.13
1707,2020-03-19,2020-04-20,153.14,149.54,-0.0302,⚪ 時間到期,20,181.67,131.74
2368,2020-03-31,2020-04-27,23.15,30.22,0.2967,🟢 停利,17,30.22,17.84
6669,2020-03-27,2020-04-28,587.62,595.37,0.0063,⚪ 時間到期,20,751.39,464.79
2377,2020-04-06,2020-05-05,68.5,68.51,-0.0067,⚪ 時間到期,20,80.94,59.17
6415,2020-04-06,2020-05-05,252.16,280.7,0.1056,⚪ 時間到期,20,323.89,198.36
2376,2020-04-07,2020-05-06,39.89,37.39,-0.0689,⚪ 時間到期,20,47.89,33.88
2382,2020-04-07,2020-05-06,45.36,46.11,0.0094,⚪ 時間到期,20,53.16,39.52
1760,2020-04-28,2020-05-06,113.04,135.52,0.1906,🟢 停利,5,135.52,96.18
1760,2020-05-06,2020-05-12,134.74,107.51,-0.2076,🔴 停損,4,164.19,112.65
3443,2020-04-14,2020-05-13,205.59,204.01,-0.0145,⚪ 時間到期,20,251.28,171.33
3231,2020-04-15,2020-05-14,19.85,20.76,0.0386,⚪ 時間到期,20,23.03,17.46
5274O,2020-04-15,2020-05-14,908.91,1042.52,0.1392,⚪ 時間到期,20,1192.23,696.41
3017,2020-05-05,2020-05-18,36.86,32.48,-0.1248,🔴 停損,9,42.5,32.64
1101,2020-04-20,2020-05-19,28.99,29.51,0.011,⚪ 時間到期,20,32.26,26.53
3037,2020-05-06,2020-05-19,37.66,32.97,-0.1307,🔴 停損,9,43.93,32.97
4142,2020-05-14,2020-05-19,41.66,51.92,0.2379,🟢 停利,3,50.15,35.29
6547O,2020-05-13,2020-05-20,46.12,57.27,0.2333,🟢 停利,5,57.27,37.76
1760,2020-05-12,2020-05-22,107.61,146.77,0.3545,🟢 停利,8,146.77,78.25
2327,2020-05-06,2020-05-25,91.01,79.42,-0.1332,🔴 停損,13,106.45,79.42
4142,2020-05-20,2020-05-25,51.87,62.33,0.1933,🟢 停利,3,62.33,44.03
4743O,2020-05-22,2020-05-25,90.49,112.11,0.2304,🟢 停利,1,112.11,74.28
2368,2020-04-27,2020-05-26,28.21,35.13,0.2371,🟢 停利,20,35.13,23.01
3661,2020-05-05,2020-06-02,279.67,283.67,0.0074,⚪ 時間到期,20,324.81,245.81
6669,2020-05-19,2020-06-02,722.01,639.33,-0.1206,🔴 停損,10,832.24,639.33
4142,2020-05-25,2020-06-02,60.11,50.65,-0.163,🔴 停損,6,72.71,50.65
1760,2020-05-26,2020-06-02,159.61,118.48,-0.2627,🔴 停損,5,214.45,118.48
4743O,2020-05-25,2020-06-05,106.76,130.42,0.2133,🟢 停利,9,130.42,89.01
2345,2020-06-02,2020-06-08,212.4,188.74,-0.1174,🔴 停損,4,243.94,188.74
4743O,2020-06-05,2020-06-09,128.86,160.09,0.2339,🟢 停利,2,160.09,105.44
5871,2020-05-19,2020-06-10,75.66,85.36,0.1206,🟢 停利,16,85.36,68.38
2383,2020-05-14,2020-06-11,120.92,124.56,0.0231,⚪ 時間到期,20,135.96,109.63
2376,2020-06-08,2020-06-11,52.24,46.32,-0.1194,🔴 停損,3,60.14,46.32
4743O,2020-06-09,2020-06-11,153.46,187.21,0.2115,🟢 停利,2,187.21,128.16
4743O,2020-06-11,2020-06-12,181.41,143.73,-0.2131,🔴 停損,1,219.37,152.93
3533,2020-05-18,2020-06-15,332.84,329.53,-0.0167,⚪ 時間到期,20,378.59,298.52
5274O,2020-05-19,2020-06-16,1140.34,1146.06,-0.0019,⚪ 時間到期,20,1359.77,975.76
3529O,2020-06-02,2020-06-16,378.04,451.96,0.1874,🟢 停利,10,451.96,322.59
4142,2020-06-02,2020-06-17,52.47,69.84,0.322,🟢 停利,11,69.84,39.44
6547O,2020-05-25,2020-06-18,61.93,78.3,0.2556,🟢 停利,18,78.3,49.66
4743O,2020-06-12,2020-06-18,143.87,190.39,0.3143,🟢 停利,4,187.52,111.14
3661,2020-06-10,2020-06-22,337.7,401.94,0.1821,🟢 停利,8,401.94,289.51
6415,2020-06-02,2020-06-23,378.24,475.02,0.2473,🟢 停利,15,463.89,314.0
3661,2020-06-22,2020-06-23,376.7,446.45,0.1771,🟢 停利,1,446.45,324.38
3529O,2020-06-16,2020-06-29,447.97,541.26,0.2,🟢 停利,7,541.26,378.01
