Date,Equity
2026-03-02,195966.13532216268
2026-03-03,188143.51612162052
2026-03-04,174704.54264258276
2026-03-05,183678.79805920107
2026-03-06,182708.15453672438
2026-03-09,169777.98530868228
2026-03-10,177160.14199271364
2026-03-11,187267.46648196905
2026-03-12,189793.4179957007
2026-03-13,191183.61660822367
2026-03-16,191584.90093333626
2026-03-17,197527.33678617544
2026-03-18,199504.75370710986
2026-03-19,202158.75585047327
2026-03-20,198251.83520705067
2026-03-23,191605.44331836625
2026-03-24,189153.01227671464
2026-03-25,197163.85079691655
2026-03-26,198480.54419776704
2026-03-27,198022.61241840792
2026-03-30,196987.0660716788
2026-03-31,190530.77841166875
